code,name,country_code,timezone
AAA,Anaa Airport,PF,Pacific/Tahiti
AAB,Arrabury Airport,AU,Australia/Brisbane
AAC,El Arish International Airport,EG,Africa/Cairo
AAE,Rabah Bitat Airport,DZ,Africa/Algiers
AAF,Apalachicola Regional Airport,US,America/New_York
AAG,Avelino Vieira Airport,BR,America/Sao_Paulo
AAH,Aachen-Merzbrück Airport,DE,Europe/Berlin
AAI,Arraias Airport,BR,America/Araguaina
AAJ,Cayana Airstrip,SR,America/Paramaribo
AAK,Aranuka Airport,KI,Pacific/Tarawa
AAL,Aalborg Airport,DK,Europe/Copenhagen
AAM,Malamala Airport,ZA,Africa/Johannesburg
AAN,Al Ain International Airport,AE,Asia/Dubai
AAO,Anaco Airport,VE,America/Caracas
AAQ,Anapa Vityazevo Airport,RU,Europe/Moscow
AAR,Aarhus Airport,DK,Europe/Copenhagen
AAS,Apalapsili Airport,ID,Asia/Jayapura
AAT,Altay Airport,CN,Asia/Urumqi
AAU,Asau Airport,WS,Pacific/Apia
AAV,Allah Valley Airport,PH,Asia/Manila
AAX,Romeu Zema Airport,BR,America/Sao_Paulo
AAY,Al Ghaidah International Airport,YE,Asia/Aden
AAZ,Quezaltenango Airport,GT,America/Guatemala
ABA,Abakan International Airport,RU,Asia/Krasnoyarsk
ABB,Asaba International Airport,NG,Africa/Lagos
ABC,Albacete Airport,ES,Europe/Madrid
ABD,Abadan Airport,IR,Asia/Tehran
ABF,Abaiang Airport,KI,Pacific/Tarawa
ABG,Abingdon Downs Airport,AU,Australia/Brisbane
ABH,Alpha Airport,AU,Australia/Brisbane
ABI,Abilene Regional Airport,US,America/Chicago
ABJ,Félix-Houphouët-Boigny International Airport,CI,Africa/Abidjan
ABK,Kabri Dehar Airport,ET,Africa/Addis_Ababa
ABM,Northern Peninsula Airport,AU,Australia/Brisbane
ABN,Albina Airport,SR,America/Paramaribo
ABP,Atkamba Airport,PG,Europe/Riga
ABQ,Albuquerque International Sunport,US,America/Denver
ABR,Aberdeen Regional Airport,US,America/Chicago
ABS,Abu Simbel Airport,EG,Africa/Cairo
ABT,Al-Aqiq Airport,SA,Asia/Riyadh
ABU,Haliwen Airport,ID,Asia/Makassar
ABV,Nnamdi Azikiwe International Airport,NG,Africa/Lagos
ABX,Albury Airport,AU,Australia/Sydney
ABY,Southwest Georgia Regional Airport,US,America/New_York
ABZ,Aberdeen Dyce Airport,GB,Europe/London
ACA,General Juan N Alvarez International Airport,MX,America/Mexico_City
ACB,Antrim County Airport,US,America/Detroit
ACC,Kotoka International Airport,GH,Africa/Accra
ACD,Alcides Fernández Airport,CO,America/Bogota
ACE,Lanzarote Airport,ES,Atlantic/Canary
ACF,Brisbane Archerfield Airport,AU,Australia/Brisbane
ACH,St Gallen Altenrhein Airport,CH,Europe/Zurich
ACI,Alderney Airport,GG,Europe/Guernsey
ACJ,Anuradhapura Air Force Base,LK,Asia/Colombo
ACK,Nantucket Memorial Airport,US,America/New_York
ACL,Aguaclara Airport,CO,America/Bogota
ACM,Arica Airport,CO,America/Bogota
ACN,Ciudad Acuña New International Airport,MX,America/Matamoros
ACP,Sahand Airport,IR,Asia/Yerevan
ACR,Araracuara Airport,CO,America/Bogota
ACS,Achinsk Airport,RU,Asia/Krasnoyarsk
ACT,Waco Regional Airport,US,America/Chicago
ACU,Achutupu Airport,PA,America/Panama
ACV,California Redwood Coast-Humboldt County International Airport,US,America/Los_Angeles
ACX,Xingyi Airport,CN,Asia/Chongqing
ACY,Atlantic City International Airport,US,America/New_York
ACZ,Zabol Airport,IR,Asia/Tehran
ADA,Adana Şakirpaşa Airport,TR,Europe/Istanbul
ADB,Adnan Menderes International Airport,TR,Europe/Istanbul
ADD,Addis Ababa Bole International Airport,ET,Africa/Addis_Ababa
ADE,Aden International Airport,YE,Asia/Aden
ADF,Adıyaman Airport,TR,Europe/Istanbul
ADG,Lenawee County Airport,US,America/Detroit
ADH,Aldan Airport,RU,Asia/Yakutsk
ADI,Arandis Airport,NA,Africa/Windhoek
ADK,Adak Airport,US,America/Adak
ADL,Adelaide International Airport,AU,Australia/Adelaide
ADM,Ardmore Municipal Airport,US,America/Chicago
ADN,Andes Airport,CO,America/Bogota
ADO,Andamooka Airport,AU,Australia/Adelaide
ADP,Ampara Airport,LK,Asia/Colombo
ADQ,Kodiak Airport,US,America/Anchorage
ADR,Robert F Swinnie Airport,US,America/New_York
ADS,Addison Airport,US,America/Chicago
ADT,Ada Regional Airport,US,America/Chicago
ADU,Ardabil Airport,IR,Asia/Tehran
ADW,Joint Base Andrews,US,America/New_York
ADX,RAF Leuchars,GB,Europe/London
ADY,Alldays Airport,ZA,Africa/Johannesburg
ADZ,Gustavo Rojas Pinilla International Airport,CO,America/Bogota
AEA,Abemama Airport,KI,Pacific/Tarawa
AEB,Baise Youjiang Airport,CN,Asia/Chongqing
AEE,Adareil Airport,SS,Africa/Khartoum
AEG,Aek Godang Airport,ID,Asia/Jakarta
AEH,Abeche Airport,TD,Africa/Ndjamena
AEK,Aseki Airport,PG,Pacific/Port_Moresby
AEL,Albert Lea Municipal Airport,US,America/Chicago
AEO,Aioun el Atrouss Airport,MR,Africa/Nouakchott
AEP,Jorge Newbery Airpark,AR,America/Argentina/Buenos_Aires
AER,Sochi International Airport,RU,Europe/Moscow
AES,Ålesund Airport,NO,Europe/Oslo
AET,Allakaket Airport,US,America/Anchorage
AEU,Abu Musa Island Airport,IR,Asia/Dubai
AEX,Alexandria International Airport,US,America/Chicago
AEY,Akureyri Airport,IS,Atlantic/Reykjavik
AFA,Suboficial Ay Santiago Germano Airport,AR,America/Argentina/Mendoza
AFD,Port Alfred Airport,ZA,Africa/Johannesburg
AFF,USAF Academy Airfield,US,America/Denver
AFI,Amalfi Airport,CO,America/Bogota
AFK,Kondavattavana Tank Seaplane Base,LK,Asia/Colombo
AFL,Piloto Osvaldo Marques Dias Airport,BR,America/Cuiaba
AFN,Jaffrey Airport Silver Ranch Airport,US,America/New_York
AFO,Afton Municipal Airport,US,America/Denver
AFR,Afore Airstrip,PG,Pacific/Port_Moresby
AFS,Sugraly Airport,UZ,Asia/Qyzylorda
AFT,Afutara Aerodrome,SB,Pacific/Guadalcanal
AFW,Fort Worth Alliance Airport,US,America/Chicago
AFY,Afyon Air Base,TR,Europe/Istanbul
AFZ,Sabzevar National Airport,IR,Asia/Ashgabat
AGA,Al Massira Airport,MA,Africa/Casablanca
AGB,Augsburg Airport,DE,Europe/Berlin
AGC,Allegheny County Airport,US,America/New_York
AGD,Anggi Airport,ID,Asia/Jayapura
AGE,Wangerooge Airport,DE,Europe/Berlin
AGF,La Garenne Airport,FR,Europe/Paris
AGG,Angoram Airport,PG,Pacific/Port_Moresby
AGH,Ängelholm-Helsingborg Airport,SE,Europe/Stockholm
AGI,Wageningen Airstrip,SR,America/Bogota
AGJ,Aguni Airport,JP,Asia/Tokyo
AGK,Kagua Airport,PG,Pacific/Port_Moresby
AGL,Wanigela Airport,PG,Pacific/Port_Moresby
AGN,Angoon Seaplane Base,US,America/Juneau
AGO,Magnolia Municipal Airport,US,America/Chicago
AGP,Málaga Airport,ES,Europe/Madrid
AGR,Agra Airport ,IN,Asia/Kolkata
AGS,Augusta Regional At Bush Field,US,America/New_York
AGT,Guarani International Airport,PY,America/Asuncion
AGU,Jesús Terán Paredo International Airport,MX,America/Mexico_City
AGV,Oswaldo Guevara Mujica Airport,VE,America/Caracas
AGW,Agnew Airport,AU,Australia/Lindeman
AGX,Agatti Airport,IN,Asia/Kolkata
AGZ,Aggeneys Airport,ZA,Africa/Johannesburg
AHB,Abha International Airport,SA,Asia/Riyadh
AHC,Amedee Army Air Field,US,America/Los_Angeles
AHD,Ardmore Downtown Executive Airport,US,America/Chicago
AHE,Ahe Airport,PF,Pacific/Tahiti
AHF,Arapahoe Municipal Airport,US,America/Chicago
AHH,Amery Municipal Airport,US,America/Chicago
AHI,Amahai Airport,ID,Asia/Jayapura
AHJ,Hongyuan Airport,CN,Asia/Chongqing
AHL,Aishalton Airport,GY,America/Guyana
AHM,Ashland Municipal Sumner Parker Field,US,America/Vancouver
AHN,Athens Ben Epps Airport,US,America/New_York
AHO,Alghero-Fertilia Airport,IT,Europe/Rome
AHS,Ahuas Airport,HN,America/Tegucigalpa
AHU,Cherif Al Idrissi Airport,MA,Africa/Casablanca
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,FR,Europe/Monaco
AIA,Alliance Municipal Airport,US,America/Denver
AID,Anderson Municipal Darlington Field,US,America/Indiana/Indianapolis
AIE,Aiome Airport,PG,Pacific/Port_Moresby
AIF,Marcelo Pires Halzhausen Airport,BR,America/Sao_Paulo
AIG,Yalinga Airport,CF,Africa/Bangui
AIH,Aiambak Airport,PG,Pacific/Port_Moresby
AII,Ali-Sabieh Airport,DJ,Africa/Djibouti
AIK,Aiken Regional Airport,US,America/New_York
AIL,Alligandi Airport,PA,America/Panama
AIM,Ailuk Airport,MH,Pacific/Kwajalein
AIN,Wainwright Airport,US,America/Anchorage
AIO,Atlantic Municipal Airport,US,America/Chicago
AIS,Arorae Island Airport,KI,Pacific/Tarawa
AIT,Aitutaki Airport,CK,Pacific/Rarotonga
AIU,Enua Airport,CK,Pacific/Rarotonga
AIV,George Downer Airport,US,America/Chicago
AIW,Ai-Ais Airport,NA,Africa/Windhoek
AIZ,Lee C Fine Memorial Airport,US,America/Chicago
AJA,Ajaccio-Napoléon Bonaparte Airport,FR,Europe/Paris
AJF,Al-Jawf Domestic Airport,SA,Asia/Riyadh
AJI,Ağrı Airport,TR,Europe/Istanbul
AJJ,Akjoujt Airport,MR,Africa/Nouakchott
AJK,Arak Airport,IR,Asia/Tehran
AJL,Lengpui Airport,IN,Asia/Kolkata
AJN,Ouani Airport,KM,Indian/Comoro
AJR,Arvidsjaur Airport,SE,Europe/Stockholm
AJS,Punta Abreojos Airport,MX,America/Hermosillo
AJU,Santa Maria Airport,BR,America/Noronha
AJY,Mano Dayak International Airport,NE,Africa/Niamey
AKA,Ankang Fuqiang Airport,CN,Asia/Chongqing
AKB,Atka Airport,US,America/Adak
AKC,Akron Executive Airport,US,America/New_York
AKD,Akola Airport,IN,Asia/Kolkata
AKE,Akieni Airport,GA,Africa/Libreville
AKF,Kufra Airport,LY,Africa/Tripoli
AKG,Anguganak Airport,PG,Pacific/Port_Moresby
AKH,Prince Sultan Air Base,SA,Asia/Riyadh
AKI,Akiak Airport,US,America/Anchorage
AKJ,Asahikawa Airport,JP,Asia/Tokyo
AKK,Akhiok Airport,US,America/Anchorage
AKL,Auckland International Airport,NZ,Pacific/Auckland
AKM,Zakuoma Airport,TD,Africa/Ndjamena
AKN,King Salmon Airport,US,America/Anchorage
AKO,Colorado Plains Regional Airport,US,America/Denver
AKP,Anaktuvuk Pass Airport,US,America/Anchorage
